,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,Duration_ms,Stream
0,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.772,138.559,222640.0,1040234854.0
1,0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.852,92.761,200173.0,310083733.0
2,0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.551,108.014,215150.0,63063467.0
3,0.689,0.739,-5.81,0.026,1.51e-05,0.509,0.578,120.423,233867.0,434663559.0
4,0.663,0.694,-8.627,0.171,0.0253,0.0,0.525,167.953,340920.0,617259738.0
5,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.966,120.264,245000.0,323850327.0
6,0.716,0.897,-7.185,0.0629,0.012,0.262,0.358,127.03,274142.0,10666154.0
7,0.726,0.815,-5.886,0.0313,0.00799,0.081,0.462,140.158,209560.0,159605929.0
8,0.741,0.913,-3.34,0.0465,0.00343,0.103,0.643,120.012,213750.0,42671901.0
9,0.625,0.877,-7.176,0.162,0.0315,0.0811,0.865,192.296,230426.0,191074713.0
10,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.328,96.483,329733.0,1055738398.0
11,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.458,84.581,264307.0,1061750522.0
12,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.875,91.455,269000.0,866464951.0
13,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.547,88.969,215907.0,613838674.0
14,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.513,123.229,255373.0,732774515.0
15,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.599,104.655,334667.0,860722316.0
16,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.73,96.184,282160.0,550067391.0
17,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.198,122.444,216933.0,367485508.0
18,0.666,0.936,-9.919,0.0476,0.00244,0.086,0.776,91.577,282907.0,301947159.0
19,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.197,91.959,302000.0,385677873.0
20,0.902,0.72,-2.776,0.347,0.26,0.0,0.805,90.059,193467.0,1041736808.0
21,0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.755,125.173,209107.0,701248893.0
22,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.527,96.946,237707.0,395155110.0
23,0.7,0.758,-3.012,0.342,0.0444,1.3e-05,0.889,78.693,249467.0,541728561.0
24,0.653,0.826,-2.93,0.354,0.0153,0.00146,0.416,108.52,256227.0,332175400.0
25,0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.71,97.018,214227.0,202477187.0
26,0.576,0.807,-3.908,0.317,0.353,0.000363,0.908,90.012,224427.0,446003044.0
27,0.853,0.776,-4.221,0.261,0.0714,0.0,0.659,94.028,212013.0,28529840.0
28,0.892,0.631,-2.522,0.302,0.244,0.0,0.838,93.975,196640.0,210473579.0
29,0.545,0.64,-3.529,0.308,0.368,0.0,0.574,181.733,254493.0,160037992.0
33,0.511,0.972,-3.751,0.0413,5.36e-06,0.00101,0.532,132.97,304893.0,327681785.0
37,0.386,0.996,-2.96,0.0754,1.15e-05,0.000836,0.188,130.573,205680.0,20061385.0
39,0.425,0.972,-3.448,0.045,2.42e-05,0.0202,0.282,101.125,330453.0,3905429.0
40,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.285,173.372,266773.0,1483622308.0
41,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.417,138.015,242373.0,1325575712.0
42,0.371,0.268,-10.506,0.0281,0.748,0.0517,0.165,102.617,227093.0,475353044.0
43,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.446,103.019,247160.0,2030825694.0
44,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.213,146.277,309600.0,1465980600.0
45,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.162,124.97,267867.0,1021782403.0
46,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.212,139.631,278719.0,927288329.0
