,nombre_cancion,artista,duracion_ms,explicita,popularidad,nombre_album,tipo_album,lanzamiento_album,genero
0,Folklore Romántico: Nada Tengo de Ti / Canción del Adiós / Dueña de Mi Alma / Zamba para Olvidarte,Campedrinos,475764,False,44,Folklore Romántico: Nada Tengo de Ti / Canción del Adiós / Dueña de Mi Alma / Zamba para Olvidarte,single,2021-07-02,Zamba
1,Cueca De La Viña Nueva - Remastered 2003,Los Chalchaleros,152786,False,17,Nuestro Folklore En Hollywood,album,2004-05-04,Zamba
2,La Parcería,Los Hermanos Toledo,133506,False,15,Folklore Los 100 Mejores Temas Vol. 1,compilation,2009-01-01,Zamba
3,Cocherito e´plaza,Los Chalchaleros,189205,False,28,Folklore argentino,album,2015-06-30,Zamba
4,Cruz del Sur,Atahualpa Yupanqui,252413,False,24,Folklore Los 100 Mejores Temas Vol. 1,compilation,2009-01-01,Zamba
5,Zamba del negro alegre,Los Fronterizos,186306,False,30,Folklore Argentino,compilation,2008-05-06,Zamba
6,La Sanlorenceña,El Chango Nieto,160520,False,10,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 2",compilation,1973-06-12,Zamba
7,La Compañera,El Chango Nieto,241746,False,10,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 2",compilation,1973-06-12,Zamba
8,Recuerdo Salteño,El Chango Nieto,177040,False,10,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 1",compilation,1971-05-12,Zamba
9,La Tucumanita,Atahualpa Yupanqui,168946,False,16,The Best Argentine Folklore,album,2015-11-30,Zamba
10,Angélica,Los Chalchaleros,223724,False,20,Folklore argentino,album,2015-06-30,Zamba
11,La Lopez Pereyra,Los Fronterizos,191786,False,14,Folklore Argentino,compilation,2008-05-06,Zamba
12,Amalaya (En Vivo),Los Hermanos Chillado Biaus,164153,False,8,Clasicos De Nuestro Folklore En Chile (Grabado En Vivo),album,2021-10-19,Zamba
13,Calle Angosta (En Vivo),Los Hermanos Chillado Biaus,184111,False,9,Clasicos De Nuestro Folklore En Chile (Grabado En Vivo),album,2021-10-19,Zamba
14,Bienhaiga Con El Mocito,Alfredo Abalos,138800,False,9,Folklore De Alto Rango,album,2004,Zamba
15,Bajando del Cerro,El Chango Nieto,182013,False,8,Revelación del V Festival Nacional del Folklore de Cosquín,album,1965-05-21,Zamba
16,Mi Luna Cautiva,El Chango Nieto,201733,False,8,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 3",compilation,1978-06-19,Zamba
17,De Simoca,El Chango Nieto,188706,False,35,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 2",compilation,1973-06-12,Zamba
18,Mama Vieja,El Chango Nieto,197226,False,9,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 1",compilation,1971-05-12,Zamba
19,Nostalgias Santiagueñas,El Chango Nieto,205733,False,8,"Los Más Grandes Éxitos del Folklore Argentino, Vol. 1",compilation,1971-05-12,Zamba
20,Llorare,Los De Salta,189760,False,12,Folklore Argentino,compilation,2008-05-06,Zamba
21,La Cerrilleña - Remastered 2003,Los Chalchaleros,222666,False,6,Nuestro Folklore En Hollywood,album,2004-05-04,Zamba
22,Los Sesenta Granaderos (En Vivo),Los Hermanos Chillado Biaus,220421,False,5,Clasicos De Nuestro Folklore En Chile (Grabado En Vivo),album,2021-10-19,Zamba
23,El Upialo - Remastered 2003,Los Chalchaleros,115320,False,7,Nuestro Folklore En Hollywood,album,2004-05-04,Zamba
